ID	Tag	Raum	Vortragstyp	Autoren	Sprache_Titel	Sprache_Folien	Sprache_Vortrag	Sprache_Moderation	Dauer_plan_min	Dauer_real_min
WS2_1	1	A	Workshop	1	FR	FR	FR	DE_FR	15	14
WS2_2	1	A	Workshop	1	DE	DE	DE	DE_FR	15	15
WS2_3	1	A	Workshop	1	DE	DE	DE_FR	DE_FR	15	15
WS1_1	1	B1B2	Workshop	1	EN	EN	EN	DE	8	8
WS1_2	1	B1B2	Workshop	1	EN	EN	EN	DE	8	8
WS1_3	1	B1B2	Workshop	1	FR	FR	FR	DE	12	12
WS1_4	1	B1B2	Workshop	1	EN	EN	EN	DE	11	11
WS3_1	1	B3	Workshop	1	EN	EN	EN	EN	60	60
A_0	1	A	Eroeffnung	1	NA	NA	DE	DE	8	8
A_1	1	A	Grusswort	1	NA	NA	DE	FR	9	9
A_2	1	A	Grusswort	1	NA	NA	IT	DE	9	9
A_4	1	A	Grusswort	1	NA	NA	DE	DE	6	6
A_4	1	A	Keynote	1	EN	EN	DE	DE	30	30
AT3_1	1	A	Atelier	1	EN	EN	DE_FR	FR	15	12
AT3_2	1	A	Atelier	2	EN	EN	EN	DE	15	14
AT3_3	1	A	Atelier	2	FR	DE	FR	FR	15	17
AT3_4	1	A	Atelier	4	FR	FR	FR	FR	15	22
A_4	1	A	Keynote	1	EN	EN	EN	FR	36	36
AT4_1	1	A	Atelier	2	DE	DE	DE	FR	15	14
AT4_2	1	A	Atelier	1	DE	DE	DE	FR	15	17
AT4_3	1	A	Atelier	2	DE	DE	DE	FR	15	16
AT1_1	1	B1B2	Atelier	3	EN	EN	FR	EN	15	17
AT1_2	1	B1B2	Atelier	1	FR	FR	FR	EN	15	18
AT1_3	1	B1B2	Atelier	2	DE_FR	EN	DE_FR	EN	15	18
AT1_4	1	B1B2	Atelier	2	EN	DE	DE	EN	15	12
AT5_1	1	B1B2	Atelier	1	DE	DE	DE	DE	15	13
AT5_2	1	B1B2	Atelier	2	DE	DE	DE	DE	15	15
AT5_3	1	B1B2	Atelier	1	DE	DE	DE	DE	15	15
AT5_4	1	B1B2	Atelier	1	EN	EN	EN	DE	15	15
AT2_1	1	B3	Atelier	2	EN	EN	EN	EN	15	16
AT2_2	1	B3	Atelier	1	EN	EN	EN	EN	15	21
AT2_3	1	B3	Atelier	2	DE	DE	DE	DE	15	19
AT2_4	1	B3	Atelier	4	DE	DE	DE	DE	15	18
AT6_1	1	B3	Atelier	2	DE	DE_FR	DE_FR	DE	15	27
AT6_2	1	B3	Atelier	1	DE	DE_FR	DE	DE	15	20
AT6_3	1	B3	Atelier	2	FR	DE	FR	DE	15	19
AT9_1	2	A	Atelier	1	DE	DE	DE	DE	15	23
AT9_2	2	A	Atelier	1	FR	FR	FR	FR	15	22
AT9_3	2	A	Atelier	1	EN	EN	EN	FR	15	30
A_5	2	A	Keynote	1	DE_FR	NA	DE_FR	DE	19	19
AT12_1	2	A	Atelier	4	DE	DE	DE	FR	15	19
AT12_2	2	A	Atelier	4	EN	EN	EN	FR	15	15
AT12_3	2	A	Atelier	1	EN	EN	EN	FR	15	14
AT12_4	2	A	Atelier	1	EN	EN	EN	FR	15	22
A_6	2	A	Keynote	1	EN	EN	EN	FR	39	39
LT_1	2	A	Lightning_Talk	1	EN	EN	EN	EN	5	5
LT_3	2	A	Lightning_Talk	1	EN	EN	EN	EN	5	5
LT_5	2	A	Lightning_Talk	1	IT	IT	IT	EN	5	5
LT_6	2	A	Lightning_Talk	4	EN	EN	EN	EN	5	4
LT_7	2	A	Lightning_Talk	1	FR	FR	FR	FR	5	5
LT_8	2	A	Lightning_Talk	1	DE	DE	DE	FR	5	4
AT8_1	2	B1B2	Atelier	3	DE_FR	DE_FR	DE_FR	FR	15	20
AT8_2	2	B1B2	Atelier	2	FR	FR	FR	DE	15	16
AT8_3	2	B1B2	Atelier	1	EN	IT	EN	DE	15	20
AT8_4	2	B1B2	Atelier	2	EN	EN	EN	DE	15	20
AT10_1	2	B1B2	Atelier	1	DE	DE	DE	FR	15	18
AT10_2	2	B1B2	Atelier	1	DE	DE	DE	FR	15	23
AT10_3	2	B1B2	Atelier	1	DE	DE	DE	FR	15	20
AT10_4	2	B1B2	Atelier	1	DE	DE	DE	FR	15	21
AT7_1	2	B3	Atelier	1	FR	FR	FR	FR	15	29
AT7_2	2	B3	Atelier	2	FR	FR	FR	FR	15	22
AT7_3	2	B3	Atelier	1	FR	FR	FR	FR	15	23
AT7_4	2	B3	Atelier	1	DE	DE	DE	FR	15	17
AT11_1	2	B3	Atelier	2	EN	DE	DE	DE	15	22
AT11_2	2	B3	Atelier	1	EN	EN	EN	DE	15	21
AT11_3	2	B3	Atelier	5	EN	EN	EN	DE	15	16
AT11_4	2	B3	Atelier	2	EN	EN	EN	DE	15	12
AT15_1	3	A	Atelier	4	FR	FR	FR	IT	15	15
AT15_2	3	A	Atelier	1	IT	IT	IT	IT	15	26
AT15_3	3	A	Atelier	1	FR	FR	FR	IT	15	23
A_7	3	A	Keynote	1	DE	NA	DE	FR	34	34
AT14_1	3	B1B2	Atelier	1	DE	DE	DE	FR	15	25
AT14_2	3	B1B2	Atelier	1	EN	EN	EN	FR	15	22
AT14_3	3	B1B2	Atelier	1	EN	EN	EN	FR	15	20
AT13_1	3	B3	Atelier	1	DE	DE	DE	DE	15	23
AT13_2	3	B3	Atelier	2	DE	DE	DE	DE	15	15
AT13_3	3	B3	Atelier	2	DE	DE	DE	DE	15	15
